"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.410062788E2,6.503428378E1,2.544408420E1,5.359301087E0,1.620000005E0,3.443999939E2,3.790092468E0,2.500000000E0
2.419960347E2,6.503429705E1,2.544407018E1,5.372172924E0,1.409999967E0,3.385000000E2,3.790092468E0,2.500000000E0
2.430100159E2,6.503430979E1,2.544405773E1,5.804722849E0,1.480000019E0,3.386000061E2,3.790092468E0,2.500000000E0
2.440026623E2,6.503432363E1,2.544404491E1,6.105680501E0,1.509999990E0,3.368999939E2,3.790092468E0,2.500000000E0
2.450037578E2,6.503433704E1,2.544403185E1,6.319358031E0,1.519999981E0,3.387999878E2,3.790092468E0,2.500000000E0
2.459996569E2,6.503434940E1,2.544401844E1,6.506424623E0,1.409999967E0,3.397000122E2,3.790092468E0,2.500000000E0
2.470078933E2,6.503436199E1,2.544400572E1,6.368295871E0,1.460000038E0,3.396000061E2,3.790092468E0,2.500000000E0
2.480078519E2,6.503437419E1,2.544399147E1,5.876712550E0,1.389999986E0,3.383999939E2,3.790092468E0,2.500000000E0
2.490011656E2,6.503438616E1,2.544397484E1,5.650815143E0,1.600000024E0,3.370000000E2,3.790092468E0,2.500000000E0
2.500010065E2,6.503439842E1,2.544395843E1,5.835440100E0,1.500000000E0,3.366000061E2,3.790092468E0,2.500000000E0
2.509977323E2,6.503441026E1,2.544394218E1,5.811996392E0,1.519999981E0,3.367000122E2,3.790092468E0,2.500000000E0
2.520072919E2,6.503442204E1,2.544392763E1,5.707559207E0,1.379999995E0,3.377999878E2,3.790092468E0,2.500000000E0
2.529949352E2,6.503443344E1,2.544391429E1,5.915927458E0,1.429999948E0,3.378999939E2,3.790092468E0,2.500000000E0
2.540081052E2,6.503444536E1,2.544390017E1,5.851041036E0,1.500000000E0,3.375000000E2,3.790092468E0,2.500000000E0
2.550003916E2,6.503445655E1,2.544387984E1,5.831198298E0,1.669999957E0,3.372999878E2,3.790092468E0,2.500000000E0
2.559988243E2,6.503446876E1,2.544386125E1,5.477431965E0,1.590000033E0,3.393999939E2,3.790092468E0,2.500000000E0
2.569945280E2,6.503448111E1,2.544384627E1,5.479378788E0,1.519999981E0,3.307000122E2,3.790092468E0,2.500000000E0
2.580091674E2,6.503449418E1,2.544383562E1,5.470766627E0,1.539999962E0,3.436000061E2,3.790092468E0,2.500000000E0
2.589975694E2,6.503450662E1,2.544382666E1,5.236019616E0,1.389999986E0,3.365000000E2,3.790092468E0,2.500000000E0
2.600084371E2,6.503451838E1,2.544381668E1,4.891897787E0,1.379999995E0,3.365000000E2,3.790092468E0,2.500000000E0
2.610116502E2,6.503453018E1,2.544380694E1,4.745835045E0,1.389999986E0,3.380000000E2,3.790092468E0,2.500000000E0
2.619997751E2,6.503454230E1,2.544379896E1,4.587748406E0,1.450000048E0,3.421000061E2,3.790092468E0,2.500000000E0
2.630096557E2,6.503455509E1,2.544379067E1,5.006626802E0,1.529999971E0,3.395000000E2,3.790092468E0,2.500000000E0
2.640100552E2,6.503456839E1,2.544378236E1,5.015470811E0,1.649999976E0,3.407999878E2,3.790092468E0,2.500000000E0
2.649942508E2,6.503458164E1,2.544377338E1,5.197959800E0,1.610000014E0,3.388999939E2,3.790092468E0,2.500000000E0
2.659972651E2,6.503459413E1,2.544376363E1,5.159623829E0,1.480000019E0,3.382000122E2,3.790092468E0,2.500000000E0
2.670065242E2,6.503460590E1,2.544375349E1,5.115184598E0,1.440000057E0,3.378999939E2,3.790092468E0,2.500000000E0
2.680072968E2,6.503461797E1,2.544374260E1,4.931585022E0,1.509999990E0,3.376000061E2,3.790092468E0,2.500000000E0
2.690278002E2,6.503462943E1,2.544373275E1,5.058471624E0,1.259999990E0,3.381000061E2,3.790092468E0,2.500000000E0
2.700129792E2,6.503464080E1,2.544372261E1,4.944513510E0,1.470000029E0,3.385000000E2,3.790092468E0,2.500000000E0
2.709945695E2,6.503465357E1,2.544371192E1,4.981250584E0,1.519999981E0,3.397000122E2,3.790092468E0,2.500000000E0
2.719997182E2,6.503466733E1,2.544370179E1,5.178387700E0,1.659999967E0,3.412999878E2,3.790092468E0,2.500000000E0
2.730024182E2,6.503468060E1,2.544369316E1,5.318884523E0,1.389999986E0,3.417000122E2,3.790092468E0,2.500000000E0
2.739986720E2,6.503469299E1,2.544368355E1,5.333221944E0,1.500000000E0,3.390000000E2,3.790092468E0,2.500000000E0
2.750066655E2,6.503470558E1,2.544367178E1,5.136682626E0,1.480000019E0,3.361000061E2,3.790092468E0,2.500000000E0
2.759975862E2,6.503471836E1,2.544365817E1,5.097552734E0,1.549999952E0,3.351000061E2,3.790092468E0,2.500000000E0
2.770035040E2,6.503473166E1,2.544364379E1,5.174328325E0,1.580000043E0,3.358999939E2,3.790092468E0,2.500000000E0
2.779974939E2,6.503474505E1,2.544362863E1,5.099370412E0,1.509999990E0,3.358999939E2,3.790092468E0,2.500000000E0
2.790034171E2,6.503475857E1,2.544361296E1,5.299436815E0,1.620000005E0,3.352000122E2,3.790092468E0,2.500000000E0
2.799952197E2,6.503477209E1,2.544359877E1,5.332755303E0,1.519999981E0,3.372000122E2,3.790092468E0,2.500000000E0
2.810062854E2,6.503478530E1,2.544358594E1,5.594650697E0,1.559999943E0,3.376000061E2,3.790092468E0,2.500000000E0
2.820130896E2,6.503479773E1,2.544357474E1,5.766458660E0,1.419999957E0,3.380000000E2,3.790092468E0,2.500000000E0
2.830103067E2,6.503481103E1,2.544356292E1,6.279818952E0,1.769999981E0,3.378999939E2,3.790092468E0,2.500000000E0
2.840106686E2,6.503482416E1,2.544355105E1,6.356777940E0,1.399999976E0,3.382999878E2,3.790092468E0,2.500000000E0
2.850103359E2,6.503483562E1,2.544354123E1,6.810874014E0,1.269999981E0,3.407999878E2,3.790092468E0,2.500000000E0
2.860098187E2,6.503484779E1,2.544353066E1,6.756852059E0,1.539999962E0,3.402000122E2,3.790092468E0,2.500000000E0
2.870079018E2,6.503486128E1,2.544351892E1,6.973154175E0,1.570000052E0,3.398999939E2,3.790092468E0,2.500000000E0
2.880125870E2,6.503487452E1,2.544350685E1,7.050662417E0,1.490000010E0,3.392000122E2,3.790092468E0,2.500000000E0
2.890093660E2,6.503488803E1,2.544349410E1,7.329220293E0,1.529999971E0,3.381000061E2,3.790092468E0,2.500000000E0
2.900105063E2,6.503490091E1,2.544348131E1,7.336355079E0,1.389999986E0,3.371000061E2,3.790092468E0,2.500000000E0
2.910118628E2,6.503491473E1,2.544346770E1,7.231978183E0,1.590000033E0,3.395000000E2,3.790092468E0,2.500000000E0
2.920100885E2,6.503492812E1,2.544345466E1,7.245460397E0,1.470000029E0,3.385000000E2,3.790092468E0,2.500000000E0
2.930104685E2,6.503494075E1,2.544344272E1,7.007295066E0,1.419999957E0,3.376000061E2,3.790092468E0,2.500000000E0
2.940745621E2,6.503495378E1,2.544343084E1,6.636927430E0,1.600000024E0,3.383999939E2,3.790092468E0,2.500000000E0
2.949957428E2,6.503496660E1,2.544342186E1,6.183003011E0,1.350000024E0,3.426000061E2,3.790092468E0,2.500000000E0
2.960043569E2,6.503497881E1,2.544341566E1,5.735243637E0,1.389999986E0,3.490000000E2,3.790092468E0,2.500000000E0
2.970089921E2,6.503499090E1,2.544341260E1,5.403329320E0,1.269999981E0,3.541000061E2,3.790092468E0,2.500000000E0
2.979980484E2,6.503500337E1,2.544341042E1,5.318973522E0,1.350000024E0,3.537000122E2,3.790092468E0,2.500000000E0
2.989985937E2,6.503501563E1,2.544340804E1,5.160765252E0,1.149999976E0,3.527999878E2,3.790092468E0,2.500000000E0
3.000110099E2,6.503502732E1,2.544340393E1,4.760125416E0,1.139999986E0,3.495000000E2,3.790092468E0,2.500000000E0
3.010108198E2,6.503503823E1,2.544339888E1,4.410755339E0,9.700000286E-1,3.525000000E2,3.790092468E0,2.500000000E0
3.020116133E2,6.503504771E1,2.544339281E1,4.711532231E0,8.999999762E-1,3.422999878E2,3.790092468E0,2.500000000E0
3.030099163E2,6.503505652E1,2.544338665E1,4.740886044E0,7.599999905E-1,3.423999939E2,3.790092468E0,2.500000000E0
3.040108815E2,6.503506512E1,2.544337768E1,4.578711368E0,9.399999976E-1,3.421000061E2,3.790092468E0,2.500000000E0
3.050115395E2,6.503507480E1,2.544336570E1,4.376924171E0,1.029999971E0,3.421000061E2,3.790092468E0,2.500000000E0
3.060108944E2,6.503508452E1,2.544335035E1,4.046779721E0,1.090000033E0,3.421000061E2,3.790092468E0,2.500000000E0
3.070100959E2,6.503508993E1,2.544334025E1,3.556725367E0,2.099999934E-1,3.421000061E2,3.790092468E0,2.500000000E0
3.080092734E2,6.503509548E1,2.544333001E1,3.395040085E0,5.799999833E-1,3.421000061E2,3.790092468E0,2.500000000E0
3.090102405E2,6.503510271E1,2.544331094E1,2.448441224E0,7.699999809E-1,3.421000061E2,3.790092468E0,2.500000000E0
3.099964012E2,6.503511068E1,2.544328900E1,2.107737803E0,6.899999976E-1,3.421000061E2,3.790092468E0,2.500000000E0
3.110079827E2,6.503511985E1,2.544325265E1,2.336734751E0,1.870000005E0,2.881000061E2,3.790092468E0,2.500000000E0
3.120026458E2,6.503512718E1,2.544320604E1,2.921566477E0,1.809999943E0,2.822000122E2,3.790092468E0,2.500000000E0
3.129982817E2,6.503513165E1,2.544316526E1,2.719656714E0,1.440000057E0,2.758999939E2,3.790092468E0,2.500000000E0
3.140020372E2,6.503513352E1,2.544312691E1,2.583788255E0,1.690000057E0,2.647999878E2,3.790092468E0,2.500000000E0
3.150091946E2,6.503513283E1,2.544309019E1,2.182418043E0,1.460000038E0,2.568999939E2,3.790092468E0,2.500000000E0
3.160034538E2,6.503513088E1,2.544305936E1,1.760846231E0,1.299999952E0,2.573999939E2,3.790092468E0,2.500000000E0
3.169981748E2,6.503512781E1,2.544302834E1,1.702739208E0,1.620000005E0,2.513000031E2,3.790092468E0,2.500000000E0
3.180003793E2,6.503512491E1,2.544299663E1,1.929177954E0,1.330000043E0,2.553000031E2,3.790092468E0,2.500000000E0
3.189973229E2,6.503512209E1,2.544296342E1,2.104774247E0,1.659999967E0,2.538000031E2,3.790092468E0,2.500000000E0
3.200107261E2,6.503511896E1,2.544292933E1,2.125219219E0,1.409999967E0,2.508999939E2,3.790092468E0,2.500000000E0
3.209930786E2,6.503511509E1,2.544289627E1,1.949924836E0,1.610000014E0,2.488000031E2,3.790092468E0,2.500000000E0
3.220103661E2,6.503510965E1,2.544286335E1,1.992892817E0,1.600000024E0,2.461000061E2,3.790092468E0,2.500000000E0
3.230072904E2,6.503510417E1,2.544283283E1,1.822360053E0,1.490000010E0,2.470000000E2,3.790092468E0,2.500000000E0
3.240114143E2,6.503509946E1,2.544280388E1,1.686922335E0,1.399999976E0,2.498000031E2,3.790092468E0,2.500000000E0
3.249930084E2,6.503509482E1,2.544277517E1,1.842195060E0,1.440000057E0,2.513000031E2,3.790092468E0,2.500000000E0
3.259977671E2,6.503508957E1,2.544274503E1,2.252472785E0,1.529999971E0,2.493999939E2,3.790092468E0,2.500000000E0
3.270039753E2,6.503508380E1,2.544271431E1,2.471100278E0,1.539999962E0,2.483000031E2,3.790092468E0,2.500000000E0
3.280061691E2,6.503507833E1,2.544268395E1,2.572540182E0,1.539999962E0,2.483999939E2,3.790092468E0,2.500000000E0
3.289951691E2,6.503507270E1,2.544265237E1,2.744353576E0,1.559999943E0,2.505000000E2,3.790092468E0,2.500000000E0
3.299960920E2,6.503506843E1,2.544262292E1,3.009062122E0,1.340000033E0,2.636000061E2,3.790092468E0,2.500000000E0
3.309952426E2,6.503506707E1,2.544259939E1,3.285488778E0,9.599999785E-1,2.640000000E2,3.790092468E0,2.500000000E0
3.319981994E2,6.503507548E1,2.544257531E1,2.978110178E0,2.029999971E0,3.320000000E2,3.790092468E0,2.500000000E0
3.329980487E2,6.503508844E1,2.544255677E1,2.940993914E0,1.279999971E0,3.320000000E2,3.790092468E0,2.500000000E0
3.340079939E2,6.503510150E1,2.544254910E1,2.872994798E0,1.409999967E0,3.432000122E2,3.790092468E0,2.500000000E0
3.349937935E2,6.503511558E1,2.544254052E1,2.922060619E0,1.600000024E0,3.417000122E2,3.790092468E0,2.500000000E0
3.359999067E2,6.503512912E1,2.544252983E1,2.702388674E0,1.519999981E0,3.402999878E2,3.790092468E0,2.500000000E0
3.369944643E2,6.503514293E1,2.544251732E1,2.860890285E0,1.620000005E0,3.382000122E2,3.790092468E0,2.500000000E0
3.380082257E2,6.503515671E1,2.544250512E1,3.004133146E0,1.549999952E0,3.386000061E2,3.790092468E0,2.500000000E0
3.390025020E2,6.503517043E1,2.544249150E1,2.806799732E0,1.620000005E0,3.367000122E2,3.790092468E0,2.500000000E0
3.400011764E2,6.503518261E1,2.544248030E1,2.711823112E0,1.309999943E0,3.378999939E2,3.790092468E0,2.500000000E0
3.409956748E2,6.503519552E1,2.544246971E1,2.774316957E0,1.690000057E0,3.381000061E2,3.790092468E0,2.500000000E0
3.419974304E2,6.503520962E1,2.544245738E1,2.618975692E0,1.669999957E0,3.383999939E2,3.790092468E0,2.500000000E0
3.430113663E2,6.503522331E1,2.544244545E1,3.020946640E0,1.580000043E0,3.376000061E2,3.790092468E0,2.500000000E0
3.440130699E2,6.503523591E1,2.544243448E1,2.795903953E0,1.330000043E0,3.381000061E2,3.790092468E0,2.500000000E0
3.450087791E2,6.503524732E1,2.544242155E1,2.546142331E0,1.389999986E0,3.352000122E2,3.790092468E0,2.500000000E0
3.460112228E2,6.503525923E1,2.544240701E1,2.464532217E0,1.519999981E0,3.347000122E2,3.790092468E0,2.500000000E0
3.470108605E2,6.503527099E1,2.544239175E1,2.580614970E0,1.460000038E0,3.341000061E2,3.790092468E0,2.500000000E0
3.480119797E2,6.503528380E1,2.544237854E1,2.375225316E0,1.620000005E0,3.382000122E2,3.790092468E0,2.500000000E0
3.490066469E2,6.503529713E1,2.544236429E1,2.459019929E0,1.590000033E0,3.367000122E2,3.790092468E0,2.500000000E0
3.500115595E2,6.503530952E1,2.544235291E1,2.830718011E0,1.399999976E0,3.357000122E2,3.790092468E0,2.500000000E0
3.510102553E2,6.503532216E1,2.544234117E1,2.905846135E0,1.580000043E0,3.361000061E2,3.790092468E0,2.500000000E0
3.519971047E2,6.503533563E1,2.544232964E1,2.981279119E0,1.539999962E0,3.373999939E2,3.790092468E0,2.500000000E0
3.529991252E2,6.503534916E1,2.544231848E1,3.046153030E0,1.629999995E0,3.367999878E2,3.790092468E0,2.500000000E0
3.540075215E2,6.503536177E1,2.544230693E1,3.273441827E0,1.389999986E0,3.390000000E2,3.790092468E0,2.500000000E0
3.550036781E2,6.503537336E1,2.544229418E1,3.302549775E0,1.450000048E0,3.391000061E2,3.790092468E0,2.500000000E0
